Year	Carbon deposited in the topsoil (t/ha)	C deposited in the subsoil (t/ha)	C deposited in the topsoil from manure (tC ha-1)	Cor-Atmospheric 14C  pM Plant	Cor-Atmospheric 14C  pM Manure
0	6.328554545	0.499622727	1.7	0	0
1	6.328554545	0.499622727	1.7	0	0
2	6.328554545	0.499622727	1.7	0	0
3	6.328554545	0.499622727	1.7	0	0
4	6.328554545	0.499622727	1.7	0	0
5	6.328554545	0.499622727	1.7	0	0
6	6.328554545	0.499622727	1.7	0	0
7	6.328554545	0.499622727	1.7	0	0
8	6.328554545	0.499622727	1.7	0	0
9	6.328554545	0.499622727	1.7	0	0
10	6.328554545	0.499622727	1.7	0	0
11	6.328554545	0.499622727	1.7	0	0
12	6.328554545	0.499622727	1.7	0	0
13	6.328554545	0.499622727	1.7	0	0
14	6.328554545	0.499622727	1.7	0	0
15	6.328554545	0.499622727	1.7	0	0
16	6.328554545	0.499622727	1.7	0	0
17	6.328554545	0.499622727	1.7	0	0
18	6.328554545	0.499622727	1.7	0	0
19	6.328554545	0.499622727	1.7	0	0
20	6.328554545	0.499622727	1.7	0	0
21	6.328554545	0.499622727	1.7	0	0
22	6.328554545	0.499622727	1.7	0	0
23	6.328554545	0.499622727	1.7	0	0
24	6.328554545	0.499622727	1.7	0	0
25	6.328554545	0.499622727	1.7	0	0
26	6.328554545	0.499622727	1.7	0	0
27	6.328554545	0.499622727	1.7	0	0
28	6.328554545	0.499622727	1.7	0	0
29	6.328554545	0.499622727	1.7	0	0
30	6.328554545	0.499622727	3.33	0	0
31	6.328554545	0.499622727	3.33	0	0
32	6.328554545	0.499622727	3.33	0	0
33	3.590931175	0.184542169	0.88	0	0
34	2.100931175	0.184542169	1.31	0	0
35	6.328554545	0.499622727	3.33	0	0
36	6.328554545	0.499622727	3.33	0	0
37	6.328554545	0.499622727	3.33	0	0
38	3.590931175	0.184542169	0.88	0	0
39	2.100931175	0.184542169	1.31	0	0
40	6.328554545	0.499622727	3.33	0	0
41	6.328554545	0.499622727	3.33	0	0
42	6.328554545	0.499622727	3.33	0	0
43	3.590931175	0.184542169	0.88	0	0
44	2.100931175	0.184542169	1.31	0	0
45	6.328554545	0.499622727	3.33	0	0
46	6.328554545	0.499622727	3.33	0	0
47	6.328554545	0.499622727	3.33	0	0
48	3.590931175	0.184542169	0.88	0	0
49	2.100931175	0.184542169	1.31	0	0
50	6.328554545	0.499622727	3.33	0	0
51	6.328554545	0.499622727	3.33	0	0
52	6.328554545	0.499622727	3.33	0	0
53	3.590931175	0.184542169	0.88	0	0
54	2.100931175	0.184542169	1.31	0	0
